id,nome,costo,costo-metri,peso,metri,densità
PLA,PLA,20,0.060,1000,335,1.24
TPUD55,TPU D55,60,0.18,1000,333,1.20
PETG,PETG,25,0.074,1000,335,1.27
PCTG,PCTG,28,0.091,1000,335,1.24
